PO ZB327 - Remaining to procure from publishers (3265 ISBNs),,,,,,,,,,,,,,,,,,,,,,,
Not available/profitable on Amazon. Publisher names recovered from Amazon scrape & merged across variants. Sorted biggest publisher first.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,ISBN,Title,PO Price (USD),REMARKS,,,,,,,,Merged Publisher,,,,,,,,,,,Group #books
770,9789370608900,"Tarkash Momentum General Science: For UPSC Civil Services, BPSC, UPPSC, and Other Competitive Examinations",$4.92,,,,,,,,,Wiley,,,,,,,,,,,35
947,9789352532018,"S. Chand's ICSE Biology for Class IX [Paperback] [Jan 01, 2017] Sarita Aggarwal",$4.92,,,,,,,,,S Chand Publishing,,,,,,,,,,,25
1169,9788178120218,UPSC SCRA Special Class Railway Apprentices Examination (Popular Master Guide) (2015 Edition),$4.92,,,,,,,,,RPH,,,,,,,,,,,15
2460,9789311127736,40 Days NEET- JEEV VIGYAN,$4.92,,,,,,,,,(unknown),,,,,,,,,,,
2726,9788125045915,Gul Mohar : Companion 8 (Nepal Edition),$4.92,,,,,,,,,(unknown),,,,,,,,,,,
541,9788178121758,Electrical Engineers Recruitment Exam Guide,$4.86,,,,,,,,,Ramesh Publishing House,,,,,,,,,,,66
584,9788178120287,UGC-NET-Geography (Paper II & III) (Popular Master Guide),$4.86,,,,,,,,,Ramesh Publishing House,,,,,,,,,,,66
1763,9788194719502,Misrani [మిస్రాణి],$4.86,,,,,,,,,Godavari Prachuranalu,,,,,,,,,,,2
1949,9789363475243,"Akashik Record Reading Dwara ""Aatmgyan Ki Yatra""",$4.86,,,,,,,,,Bigfoot Publications,,,,,,,,,,,1
2131,9789396611359,"Talking With Psychopaths,& Savages, Book",$4.86,,,,,,,,,John Blake Publishing Ltd,,,,,,,,,,,1
2725,9788125045908,Gul Mohar : Companion 7 (Nepal Edition),$4.86,,,,,,,,,(unknown),,,,,,,,,,,
2728,9789354424298,Gulmohar Language Practice 1 Nep Ncf,$4.86,,https://www.orientblackswan.com/Gul-Mohar-Language-Practice-1-NEP-NCF/details?obsin=1373&format=paperback,,,,,,,(unknown),,,,,,,,,,,
1325,9788131228234,Nutrition & Biochemistry for Nurses 1ED (English) 1st Edition,$4.84,,,,,,,,,Elsevier,,,,,,,,,,,10
2870,9788181890092,Modern Technology on Vegetable Production,$4.84,,,,,,,,,(unknown),,,,,,,,,,,
554,9788178122427,MTNL Management Trainees/Junior Telecom Trainee Officers Recruitment Test: Computer Sc./IT/Computer Engg. (Popular Master Guide),$4.80,,,,,,,,,Ramesh Publishing House,,,,,,,,,,,66
1158,9788178120478,Csir-Ugc Net (Chemical Science) I & Ii Guide: Joint Research Fellowship & Eligibility For Lectureship,$4.80,,,,,,,,,RPH,,,,,,,,,,,15
3067,9789311128818,"Study Guide for B.Arch 2018 [Paperback] [Jan 01, 2017] PK Mishra",$4.80,,,,,,,,,(unknown),,,,,,,,,,,
3262,9788199261341,ஸ்ரீ விநாயகர் அகவல்: காரியசித்தி மாலை ஸ்ரீ விநாயகர் கவசம் 108 அஷ்டோத்தர சத நாமாவளி மற்றும் துதிகள் தியான ஸ்லோகங்கள் அடங்கியது: பெரிய எழுத்தில் - Sri Vinayagar Agaval: Karya Siddhi Maalai - Kavacham-Namavali & Dhyana Slokas: Bold Letters (Tamil),$4.80,,,,,,,,,(unknown),,,,,,,,,,,
2637,9788185263441,Dhanapāla kr̥ta Tilaka-mañjarī: Eka sāṃskr̥tika adhyayana (Hindi Edition),$4.76,,,,,,,,,(unknown),,,,,,,,,,,
10,9788125014560,Dictionary of Bharata Natya,$4.74,,,,,,,,,Orient BlackSwan,,,,,,,,,,,155
963,9788181433831,Jal Tootata Hua,$4.74,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
967,9788181430496,Kurukshetra,$4.74,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
969,9788170552543,Narmedh,$4.74,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
972,9788170553021,Rajshekhar,$4.74,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
977,9788181431226,Sampradaikta Ke Badalte Chehre,$4.74,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
1758,9788196342364,Nikah Guide (URDU ROMAN),$4.74,,https://www.flipkart.com/nikah-guide/p/itmddab9fa9d0e5f,,,,,,,GIP BOOK STORE,,,,,,,,,,,2
1759,9788196342319,Seerat Un Nabi,$4.74,,,,,,,,,GIP BOOK STORE,,,,,,,,,,,2
1868,9789391406738,Your Stolen Heartbeats: Part 2 Radiant Sorrows,$4.74,,,,,,,,,The Write Order Publications,,,,,,,,,,,2
1925,9789386516268,100 Eucharistic Miracles,$4.74,,,,,,,,,ATC Publishers,,,,,,,,,,,1
2116,9789391045265,Janamsakhi Parampara Vich Guru Nanak Darshan,$4.74,,,,,,,,,Indira Gandhi National Centre For The Arts,,,,,,,,,,,1
2581,9789381018996,Chanda,$4.74,,,,,,,,,(unknown),,,,,,,,,,,
2724,9788125045892,Gul Mohar : Companion 6 (Nepal Edition),$4.74,,,,,,,,,(unknown),,,,,,,,,,,
3245,9788120843417,அயல்மொழி அலமாரி,$4.74,,,,,,,,,(unknown),,,,,,,,,,,
1785,9788126569991,Openoffice.Org For Dummies,$4.71,,,,,,,,,Manjul Publishing House,,,,,,,,,,,2
502,9789351033592,Star Wars Episode #04: A New Hope Novelization,$4.68,,,,,,,,,Scholastic,,,,,,,,,,,72
503,9789351033578,Star Wars: Episode #02 Attack Of The Clones,$4.68,,,,,,,,,Scholastic,,,,,,,,,,,72
504,9789351033608,Star Wars: Episode #05 :Empire Strikes Back Novelization,$4.68,,,,,,,,,Scholastic,,,,,,,,,,,72
505,9789351033615,Star Wars: Episode #06 Return Of The Jedi Novelization,$4.68,,,,,,,,,Scholastic,,,,,,,,,,,72
728,9789380032894,"Earthbound: Navdanya’s Guide to Easy, Organic Cooking",$4.68,,,,,,,,,Westland,,,,,,,,,,,36
783,9788126563869,Wiley's Institute of Banking Personnel Selection Probationary Officers (Ibps Po) Exam Goalpost Solved Papers & Mock Tests: Prelims and Mains,$4.68,,,,,,,,,Wiley,,,,,,,,,,,35
890,9788184975550,Mantra and the Goddess,$4.68,,,,,,,,,S.Chand (G/L) & Company Ltd,,,,,,,,,,,29
1108,9788184047110,Beautiful Security Leading Security Experts Explain How They Think,$4.68,,https://www.sapnaonline.com/books/beautiful-security-leading-security-experts-oram-8184047118-9788184047110,,,,,,,Shroff,,,,,,,,,,,19
1124,9788173669385,राष्ट्रपिता और नेताजी- Father of the Nation and Netaji (A Panoramic Historical View),$4.68,,,,,,,,,Shroff,,,,,,,,,,,19
1216,9789385152832,Ek Haseena Ka Katal (Hindi Edition),$4.68,,,,,,,,,Westland/Yatra,,,,,,,,,,,14
1223,9789386850393,The Rozabal Line (Marathi) (Marathi Edition),$4.68,,,,,,,,,Westland/Yatra,,,,,,,,,,,14
1471,9789350046821,Comdex Basic Computer and Hardware Networking Course Kit: Hindi,$4.68,,,,,,,,,Dreamtech Press,,,,,,,,,,,6
1505,9788175545427,Appreciative Inquiry for Change Management,$4.68,,,,,,,,,Kogan Page India Private Limited,,,,,,,,,,,5
1517,9788120344617,Windows Azure Step by Step [Paperback] Brunetti,$4.68,,,,,,,,,Prentice Hall India Learning Private Limited,,,,,,,,,,,5
1595,9789386850201,AVAL EZHUDHIYA BESTSELLER [Paperback] MAHARATHI (Tamil Edition),$4.68,,,,,,,,,Westland/Mysticswrite,,,,,,,,,,,4
1642,9798903421442,Constellations of Absence: A Short Noveletta,$4.68,,,,,,,,,Notion Press,,,,,,,,,,,3
1681,9789383260812,Day's End Stories: Life After Sundown In Small-Town India: 1,$4.68,,,,,,,,,Tranquebar,,,,,,,,,,,3
1682,9789385152726,Ticklish Matters: 1,$4.68,,,,,,,,,Tranquebar,,,,,,,,,,,3
1738,9788181930637,Basic notes in PSYCHIATRY (4th ed.),$4.68,,,,,,,,,CRC Pr I Llc,,,,,,,,,,,2
1749,9788176212458,Planting Seeds,$4.68,,,,,,,,,Full Circle Publishing,,,,,,,,,,,2
2087,9789386309303,Reasoning for Competitive Examinations,$4.68,,https://www.flipkart.com/hi/reasoning-competitive-examinations/p/itm784ae8f3462fb,,,,,,,GK PUBLICATION,,,,,,,,,,,1
2109,9788195478651,Iiitprep Ugee Reap 2025,$4.68,,https://www.mypustak.com/book/a-complete-guide-for-ugee-reap-2023-iiit-hyderabad-part-2-others-9788195478651?1682002&srsltid=AfmBOoqIlfs5cfliv15iErNvG1zE6mehXJwKuJsKdx8deZnHY3ttNcMX,,,,,,,IIITprep Printing Solutions,,,,,,,,,,,1
2136,9788178440484,Swatanteryotar Hindi-Mahila Natakkaro Ke Natako Mein Samajik Chetna [Hardcover] Shrimati Vinod Jain,$4.68,,,,,,,,,K.K. Publications,,,,,,,,,,,1
2211,9788184046939,SQL And Relational Theory How To Write Accurate SQL Code,$4.68,,https://www.shroffpublishers.com/books/9788184046939/?srsltid=AfmBOooKWuT7BhVcsFiI4jhKJEANX6Lmdw7kAyJMEPwtvQA4lKWcxE98,,,,,,,O′Reilly,,,,,,,,,,,1
2220,9789380658025,The Wild Geese And The Water,$4.68,,,,,,,,,Osho International Foundation,,,,,,,,,,,1
2247,9788171853632,Mastani (Marathi Edition),$4.68,,,,,,,,,Popular Prakashan P.Ltd.,,,,,,,,,,,1
2264,9788175256972,Cosmos and Human Consciousness,$4.68,,,,,,,,,Pushpa Gupta And Krishna Murari,,,,,,,,,,,1
2278,9788173669040,"It's Not about the Burqa: Muslim Women on Faith, Feminism, Sexuality and Race",$4.68,,,,,,,,,RDS Press,,,,,,,,,,,1
2512,9788174532411,Amarakānta kī kahāniyoṃ ke pramukha caritra,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
2551,9789385621222,Brahamlok Ki Kathayein,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
2667,9788198149206,End Of The Journey,$4.68,,https://www.ajayonlinestall.com/product/end-of-the-journey-book-paperback-j-krishnamurti/?srsltid=AfmBOop9RQw06DRqVWeI7Df6mDWSs_56vH6o1xc4HiXWV6RF5D9Kl_pK,,,,,,,(unknown),,,,,,,,,,,
2774,9788184041811,Internet The Missing Manual,$4.68,,https://www.shroffpublishers.com/books/9788184041811/?srsltid=AfmBOoqp70ytNKBBhGnzdFFFguxV6eH57y64m8m0Ip8iryxja-Q27XyS,,,,,,,(unknown),,,,,,,,,,,
2920,9788174530202,On Indian Music,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
2968,9788131508534,Programming with PERL,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
2996,9788174532183,Ritimukt Kavi Thakur Aur Unka Kavya,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
3068,9788185094779,"Study of socio religious ceremoney of Upananaya, Investuture with sacred thread in the Sutras and the Dharmasastras",$4.68,,,,,,,,,(unknown),,,,,,,,,,,
3224,9788184045062,Web 2.0: A Strategy Guide,$4.68,,,,,,,,,(unknown),,,,,,,,,,,
16,9788173704024,English - I Reading Book 3,$4.62,,,,,,,,,Orient BlackSwan,,,,,,,,,,,155
17,9788173704055,English - I Reading Book 6,$4.62,,https://www.mypustak.com/book/reading-book-6-english-i-global-communication-for-the-21st-century-sharda-kaushik-9788173704055?2318557&srsltid=AfmBOor_JEYDTNy5W0nnx2fI0zUpaVaCI5zUKjVsuL9AHwifu7KgJnPJ,,,,,,,Orient BlackSwan,,,,,,,,,,,155
919,9780143422372,Prakash Iyer Two Books Combo,$4.62,,,,,,,,,Penguin,,,,,,,,,,,28
956,9789364681414,Vyavsaay Sangathan Evam Prabandhan Semester II: MJ-2: For B.Com Students - NEP 2020 Jharkhand,$4.62,,https://www.schandpublishing.com/books/higher-education/economics/vyavsaay-sangathan-evam-prabandhan-semester-ii-mj-2-bcom-students-nep-2020-jharkhand/9789364681414/?srsltid=AfmBOorOpjholtn8OX-Ifo-z3xW2-0aPbvDQC9XDPqadbeGs0UzniLmv,,,,,,,S Chand Publishing,,,,,,,,,,,25
1157,9788178122755,CBSE-UGC-NET Commerce (Paper II & III) Guide (Popular Master Guide),$4.62,,,,,,,,,RPH,,,,,,,,,,,15
1580,9788170462828,Chitrakar ; The Artist Benodebehari Mukherjee,$4.62,,,,,,,,,Seagull Books,,,,,,,,,,,4
1661,9788178242927,WESTERN SCIENCE IN MODERN INDIA (PB),$4.62,,,,,,,,,Permanent Black,,,,,,,,,,,3
1697,9789395576642,ALLEN Maths Handbook For IIT-JEE Exam (Hindi),$4.62,,,,,,,,,Allen Career Institute Private Limited,,,,,,,,,,,2
1882,9789357171663,WHAT NO ONE TELLS YOU : THE HONEST ANSWERS WE ALL NEED IN LIFE,$4.62,,,,,,,,,Akash Sandhya Nema,,,,,,,,,,,1
1968,9788122129533,TAMIL- O.V. HOLY BIBLE (RED EDGES) COMPACT SIZE New Font CONTAINS OLD AND NEW TESTAMENT (TAMIL) Plastic Comb,$4.62,,,,,,,,,BSI,,,,,,,,,,,1
2180,9788126546770,Awwal Aao Ya Bheed Mein Kho Jao,$4.62,,,,,,,,,Manohar Publishers & Distributors,,,,,,,,,,,1
2197,9789376500789,Public Speaking Skills,$4.62,,,,,,,,,Namya Online Publishing Platform,,,,,,,,,,,1
2366,9781137464675,Elements Of Mentoring,$4.62,,,,,,,,,St. Martin's Griffin,,,,,,,,,,,1
2381,9788199947351,Digital Transformation: Navigating the Digital Shift,$4.62,,,,,,,,,SYBGEN Learning India Private Limited,,,,,,,,,,,1
2723,9788125045885,Gul Mohar : Companion 5 (Nepal Edition),$4.62,,,,,,,,,(unknown),,,,,,,,,,,
2923,9780241997116,One Day in December (Lead Title),$4.62,,,,,,,,,(unknown),,,,,,,,,,,
2977,9781405959919,"Queen's Gambit: Soon To Be a Major Motion Picture, FIREBRAND",$4.62,,,,,,,,,(unknown),,,,,,,,,,,
2699,9789370038691,GHOST STORIES FROM MUSSOORIE - HB,$4.59,,,,,,,,,(unknown),,,,,,,,,,,
2762,9788126136582,INTERNATIONAL FINANCIAL MANAGEMENT TEXT AND CASES 7ED (PB 2008),$4.59,,,,,,,,,(unknown),,,,,,,,,,,
550,9788178126586,Jawahar Navodaya Vidyalaya Exam Guide for Class IX: Class 9th (Popular Master Guide),$4.56,,,,,,,,,Ramesh Publishing House,,,,,,,,,,,66
2541,9780521682596,"Better English Pronunciation Book with 2 ACDs, 2nd Edition (CLPE)",$4.56,,,,,,,,,(unknown),,,,,,,,,,,
2721,9788125045861,Gul Mohar : Companion 3 (Nepal Edition),$4.56,,,,,,,,,(unknown),,,,,,,,,,,
2796,9788175250376,"Kumudeśvara Baraṭhākura, 1893-1966, racanā saṃgraha",$4.56,,,,,,,,,(unknown),,,,,,,,,,,
3002,9789355014665,S. Chand's CUET-UG Common University Entrance Test History for Section-II,$4.56,,https://www.flipkart.com/cuet-ug-history-section-ii-smart-question-bank-mcqs/p/itmf5eaed433de97,,,,,,,(unknown),,,,,,,,,,,
3015,9789311127781,SSC CGL Tier-1 Pre Examination 2017,$4.56,,,,,,,,,(unknown),,,,,,,,,,,
980,9788188473199,Tapoo Ka Rahasya,$4.50,,,,,,,,,Vani Prakashan,,,,,,,,,,,24
2720,9788125045854,Gul Mohar : Companion 2 (Nepal Edition),$4.50,,,,,,,,,(unknown),,,,,,,,,,,
92,9789352873944,New Maths Time Primer A,$4.44,,https://orientblackswan.com/New-Maths-Time-Primer-A/details?obsin=2434&format=paperback,,,,,,,Orient BlackSwan,,,,,,,,,,,155
557,9788178121741,NTPC/NHPC/IOC/HP- Electronics Engineering Guide: Recruitment Exam,$4.44,,,,,,,,,Ramesh Publishing House,,,,,,,,,,,66
849,9789380644318,A10-0195-195-ACADEMIC CCE S SC T-II X [Paperback] Books Wagon,$4.44,,,,,,,,,Laxmi Publications,,,,,,,,,,,29
1004,9789351194750,Web Engineering And Technology,$4.44,,,,,,,,,Routledge India,,,,,,,,,,,23
1028,9789387672314,CBSE/NCERT Practice Material Chapterwise for Class 12 Economics for 2019 Examination [Paperback],$4.44,,,,,,,,,Rachna Sagar,,,,,,,,,,,20
1472,9789350042755,"Comdex Multimedia and Web Design Course Kit, Hindi [Paperback] [Jan 01, 2012] VIKAS GUPTA",$4.44,,,,,,,,,Dreamtech Press,,,,,,,,,,,6
1572,9780199482153,Information Technology And Its Applications In Business,$4.44,,,,,,,,,Oxford University Press,,,,,,,,,,,4
2719,9788125045847,Gul Mohar : Companion 1 (Nepal Edition),$4.44,,,,,,,,,(unknown),,,,,,,,,,,
2722,9788125045878,Gul Mohar : Companion 4 (Nepal Edition),$4.44,,,,,,,,,(unknown),,,,,,,,,,,
3078,9788182091634,System Software,$4.44,,https://www.bestbookmart.com/BookInfo/212752/Systems-Software-1-e,,,,,,,(unknown),,,,,,,,,,,
3261,9788180542848,வன்னியூர் பொன்னன்,$4.44,,,,,,,,,(unknown),,,,,,,,,,,
1538,9789351038528,Tombequest #2: Amulet Keepers [Hardcover] Michael Northrop,$4.41,,,,,,,,,Schoalstic,,,,,,,,,,,5
1586,9781449403102,Pocket Posh Brain Games 3: 100 Puzzles,$4.41,,,,,,,,,Simon & Schuster,,,,,,,,,,,4
1324,9789381269480,Fundamentals of transmission lines and antennas,$4.33,,,,,,,,,Elsevier,,,,,,,,,,,10
735,9789384030322,Islands: Short Stories,$4.32,,,,,,,,,Westland,,,,,,,,,,,36
739,9788189975654,Private Eye Anonymous,$4.32,,,,,,,,,Westland,,,,,,,,,,,36
793,9788178555829,Composite Social Sciences- VI,$4.32,,https://www.flipkart.com/composite-social-sciences-class-vi/p/itmf8bkhqa9snmcz,,,,,,,Arya Publishing Company,,,,,,,,,,,33
800,9788182964181,I.S.C. Commerce Class - XI,$4.32,,,,,,,,,Arya Publishing Company,,,,,,,,,,,33
812,9788178555515,Prarambhik Vyasthi aivam Sumsthi Arthshastra (Question Answer Form) Class 12 | For 2027 Examination | Latest Edition,$4.32,,https://www.bestbookmart.com/bookinfo/456180/Prarambhik-Vyasthi-aivam-Sumsthi-Arthshastra-Question-Answer-Form-Class-XII,,,,,,,Arya Publishing Company,,,,,,,,,,,33
871,9788131809006,"T09-8647-095-COMP. CCE QB SO SC T-II IX [Paperback] [Jan 01, 2017] Books Wagon",$4.32,,https://www.bestbookmart.com/bookinfo/486036/Comprehensive-CCE-Question-Bank-in-Social-Science-with-solutions-Term-II-IX-160-,,,,,,,Laxmi Publications,,,,,,,,,,,29
940,9788121936590,Engineering Mathematics: Volume 2,$4.32,,,,,,,,,S Chand Publishing,,,,,,,,,,,25
944,9788121927383,Mathematics For Class 9 (Term I),$4.32,,,,,,,,,S Chand Publishing,,,,,,,,,,,25
1106,9788173669347,'Hibernate A Developer's Notebook,$4.32,,,,,,,,,Shroff,,,,,,,,,,,19
1221,9789386224613,Shivagami Katha Bahubali Khanda 1: The Rise Of Sivagami Hindi (Hindi Edition),$4.32,,,,,,,,,Westland/Yatra,,,,,,,,,,,14
1476,9788173666377,Access Hacks: Tips & Tools For Wrangling Your Data,$4.32,,,,,,,,,O'Reilly Media,,,,,,,,,,,6
1478,9788184040050,Practical Development Enviornments,$4.32,,,,,,,,,O'Reilly Media,,,,,,,,,,,6
1480,9788173668838,Windows Server Hacks,$4.32,,https://www.bestbookmart.com/bookinfo/358963/WINDOWS-SERVER-HACKS-100-INDUSTRIAL-STRENGTH-TIPS-TOOLS,,,,,,,O'Reilly Media,,,,,,,,,,,6
1514,9788120345911,Linguistics Workbook: Companion to Linguistics,$4.32,,,,,,,,,Prentice Hall India Learning Private Limited,,,,,,,,,,,5
1563,9788183553339,Guide to Computer Teachers Recruitment Exam.,$4.32,,,,,,,,,G.K. Publications Private Limited,,,,,,,,,,,4
1566,9788183554909,"Quick Learn Series Engineering Mechanics (Statics & Dynamics in SI Units) [Paperback] [Jan 01, 2016] GKP",$4.32,,,,,,,,,G.K. Publications Private Limited,,,,,,,,,,,4
1583,9788125060079,Breakaway 4,$4.32,,https://www.mypustak.com/book/breakaway-4-obs-9788125060079?2059162&srsltid=AfmBOopAoY95mibcRUB5Jz2T0QLs9UN6TUvXT-astN8PumxxZMYi2ZOz,,,,,,,Simon & Schuster,,,,,,,,,,,4
1700,9788170641094,APC Digest Hindi Course-A Class- X,$4.32,,https://www.bestbookmart.com/BookInfo/456022/APC-Digest-Hindi-Course-A-Class-X,,,,,,,APC BOOKS,,,,,,,,,,,2
1760,9788182200203,Dasakumara Charita (Adventures of the Ten Princes),$4.32,,,,,,,,,Global Vision Publishing House,,,,,,,,,,,2
1782,9789364022149,Aadmi aur Khargosh,$4.32,,,,,,,,,Manda Publishers,,,,,,,,,,,2
1881,9789390760978,The Untold Tales of Jamshedpur,$4.32,,,,,,,,,Ajitabha Publishers,,,,,,,,,,,1
2178,9789386243522,Beginning Modernism,$4.32,,,,,,,,,Manchester Univ Pr,,,,,,,,,,,1
2199,9788173199523,Biochemistry,$4.32,,,,,,,,,Narosa,,,,,,,,,,,1
2316,9788174530196,"Hindī nāṭaka, paramparā aura prayoga (Hindi Edition)",$4.32,,,,,,,,,Sañjaya Prakāśana,,,,,,,,,,,1
2450,9788195393718,நூலக மனிதர்கள் - Noolaga Manithargal,$4.32,,,,,,,,,தேசாந்திரி பதிப்பகம்,,,,,,,,,,,1
3159,9783443950569,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",$4.32,,,,,,,,,(unknown),,,,,,,,,,,
84,9789352874552,New Buzzword Supplementary Reader 8,$4.26,,https://www.mypustak.com/book/new-buzzword-supplementary-reader-8-others-9789352874552?1662498=&srsltid=ARcRdnqBj_cV5qqoftISxGLBMbKyMzaGajBzRZ3TvVx42aS7lAe2p5w6,,,,,,,Orient BlackSwan,,,,,,,,,,,155
2635,9789369582877,Developmental Economics & Statistical Methods Semester V & VI | As per latest NEP 2020 FYUGP Syllabus for all Colleges and Universities in Chhattisgarh,$4.26,,https://www.schandpublishing.com/books/higher-education/economics/developmental-economics-statistical-methods-semester-v-vi-as-per-latest-nep-2020-fyugp-syllabus-all-colleges-universities-chhattisgarh/9789369582877/?srsltid=AfmBOop7s2-ReFgjy-ZUapKnwzxF7JegSeDdpmorM0Rnl1J1rkWMt5mz,,,,,,,(unknown),,,,,,,,,,,
2864,9789369585830,Micro Economics & Macro Economics Semester III & IV | As per latest NEP 2020 FYUGP Syllabus for all Colleges and Universities in Chhattisgarh,$4.26,,,,,,,,,(unknown),,,,,,,,,,,
1044,9789386500908,Together with Enriched Scanner PYQs Chemistry - 12,$4.20,,https://www.clankart.com/books/Cbse-chemistry-question-bank-class-12---enriched-scanner?2091715429989693,,,,,,,Rachna Sagar,,,,,,,,,,,20
1361,9788183324755,Grammar Plus 8,$4.20,,https://www.flipkart.com/grammar-plus-8/p/itmdyuqehfbuhzku,,,,,,,Ratna Sagar P. Ltd.,,,,,,,,,,,9
1945,9789380550305,The Rigveda and vedic Religion [Hardcover] A.C.Clayton,$4.20,,,,,,,,,"Bharati Prakashan, Varanasi",,,,,,,,,,,1
2129,9789380628660,Sati,$4.20,,,,,,,,,Janvani Prakashan Pvt Ltd,,,,,,,,,,,1
2214,9788199154155,"New Humanism of Pope Francis: Missiological Implications for Contemporary India [Paperback] [Sep 30, 2025] Alexander Kulandaisamy [Paperback] [Sep 30, 2025] Alexander Kulandaisamy",$4.20,,,,,,,,,Omega Book World,,,,,,,,,,,1
2379,9788122903652,Living English Structure PB,$4.20,,,,,,,,,Surjeet Publications,,,,,,,,,,,1
2380,9788193425671,Brick By Brick Class 8 Book By Survi Books International,$4.20,,https://www.flipkart.com/brick-building-values-book-8/p/itm61eca0e382679,,,,,,,Survi Books International,,,,,,,,,,,1
2412,9789350586037,Entrepreneurship Class XI (English) Poonam Gandhi,$4.20,,,,,,,,,VK PUB,,,,,,,,,,,1
2500,9789386763716,Aavarana (Telugu),$4.20,,,,,,,,,(unknown),,,,,,,,,,,
2531,9788178120300,BSNL: Junior Telecom Officer (JTO) Guide (Old Edition) (Popular Master Guide),$4.20,,,,,,,,,(unknown),,,,,,,,,,,
2579,9788178121130,Cbse - Ugc - Net - English Guide (Paper Ii And Iii): Paper Ii & Iii (Popular Master Guide),$4.20,,,,,,,,,(unknown),,,,,,,,,,,
2987,9789350947265,Rashtriya Indian Military College (RIMC) Admission Test for Class VIII,$4.20,,,,,,,,,(unknown),,,,,,,,,,,
3013,9789367253342,SPICE WORLD CLASS 8 ENGLISH TERM TM,$4.20,,,,,,,,,(unknown),,,,,,,,,,,
619,9789385827976,Naushadnama: The Life & Music Of Naushad,$4.19,,,,,,,,,Hay House,,,,,,,,,,,50
760,9788126578849,Leading With Emotional Courage,$4.19,,,,,,,,,Wiley,,,,,,,,,,,35
769,9788126577712,Strive,$4.19,,,,,,,,,Wiley,,,,,,,,,,,35
773,9788126578955,The Storytelling Edge,$4.19,,,,,,,,,Wiley,,,,,,,,,,,35
774,9788126578856,Uncovering the Life of Your Dreams: An Enlightening Story,$4.19,,,,,,,,,Wiley,,,,,,,,,,,35
924,9780670088102,The House of Wives,$4.19,,,,,,,,,Penguin,,,,,,,,,,,28
1230,9788175993396,NOVAS SAT PREP COURSE- 2017,$4.19,,,,,,,,,PRAKASH BOOKS,,,,,,,,,,,13
1292,9788126564538,"Learning Leadership: The Five Fundamentals of Becoming an Exemplary Leader [Hardcover] [Jan 01, 2016] NA",$4.19,,,,,,,,,Audible Studios on Brilliance audio,,,,,,,,,,,11
1293,9788126578979,Sales Leadership,$4.19,,,,,,,,,Audible Studios on Brilliance audio,,,,,,,,,,,11
1296,9788126575091,Stop Selling and Start Leading,$4.19,,,,,,,,,Audible Studios on Brilliance audio,,,,,,,,,,,11
1315,9788126565139,Leading with Noble Purpose [Hardcover],$4.19,,,,,,,,,Pan Macmillan India,,,,,,,,,,,11
1577,9780752266558,The Little Book of Wabi-Sabi,$4.19,,,,,,,,,Pan Macmillan UK,,,,,,,,,,,4
1775,9780753448397,The Iliad,$4.19,,,,,,,,,Kingfisher,,,,,,,,,,,2
1893,9781878424495,The Voice of Knowledge: A Practical Guide to Inner Peace,$4.19,,,,,,,,,Amber-Allen Publishing,,,,,,,,,,,1
1937,9788172345563,"Novas Gmat Prep Course 2016 Edition [Paperback] [Jan 01, 2015] JEFF KOLBY",$4.19,,,,,,,,,Batra Art Press,,,,,,,,,,,1
1965,9781501134845,The Buddha's Wife,$4.19,,,,,,,,,Brilliance Audio,,,,,,,,,,,1
2030,9780753448403,The Odyssey,$4.19,,,,,,,,,Doubleday Books for Young Readers,,,,,,,,,,,1
2038,9781509823239,The Family Fang: Film tie-in,$4.19,,,,,,,,,Ecco,,,,,,,,,,,1
2059,9789381431870,His Holiness the 17th Karmapa Ogyen Trinley Dorje: A Biography,$4.19,,,,,,,,,Facsimile Publisher,,,,,,,,,,,1
2239,9780670082476,The Quotable Tycoon A treasury Of Business Quoatations,$4.19,,,,,,,,,Penguin Portfolio,,,,,,,,,,,1
2244,9781913738242,The Yearbook of Indian Poetry in English 2024,$4.19,,,,,,,,,Pippa Rann Books & Media,,,,,,,,,,,1
2252,9788175993358,Nova'S Gmat Prep Course 2017 Ed,$4.19,,https://www.ajayonlinestall.com/product/nova-gmat-2017/?srsltid=AfmBOoo5lAohb-6l4f_tYTJ4bvvkq7T8Lm6N-mkRMLj0He1WGK6cs87V,,,,,,,PRAKASH BOOKS(Old Edition),,,,,,,,,,,1
2365,9781509816057,The Spiritual Child: The New Science on Parenting for Health and Lifelong Thriving,$4.19,,,,,,,,,St. Martin's Press,,,,,,,,,,,1
2451,9781740511384,.,$4.19,,,,,,,,,(unknown),,,,,,,,,,,
2558,9780670091515,CALLING SEHMAT,$4.19,,,,,,,,,(unknown),,,,,,,,,,,
